ABE	CLE	-3.8152038454691115
ABE	IND	-1.0
ABE	BDL	0.0
ABE	DCA	0.3835978835978836
ABE	CLT	1.228503421600714
ABE	IAD	2.168805528134255
ABE	DTW	2.6739938080495356
ABE	RDU	3.0
ABE	PIT	3.019098090190981
ABE	CVG	3.195371205290051
ABI	LAX	0.0
ABI	DFW	3.8689159922489456
ABI	IAH	5.570802005012531
ABQ	CLE	-0.8571428571428571
ABQ	AUS	1.8532188841201718
ABQ	IAH	2.285044098329893
ABQ	SMF	3.1730558598028478
ABQ	ONT	3.752212389380531
ABQ	SNA	4.0
ABQ	SAT	4.491062039957939
ABQ	COS	4.491244239631336
ABQ	SLC	4.700262246252469
ABQ	DFW	4.731397730500695
ABY	MCN	-2.0
ABY	VLD	0.0
ABY	ATL	9.930758113257127
ACK	LGA	7.3
ACK	EWR	24.21221613155834
ACK	JFK	40.82789317507418
ACT	DFW	1.336382485668984
ACT	IAH	4.6779351301964365
ACT	ILE	110.0
ACT	TYR	155.0
ACT	SJT	204.0
ACV	SLC	0.6343283582089553
ACV	SMF	3.7611221309152736
ACV	CEC	3.831610536845615
ACV	SFO	13.914349864623919
ACV	RDD	64.0
ACV	MFR	144.75
ACY	BWI	0.0
ACY	BOS	1.1395348837209303
ACY	CVG	1.5949820788530467
ACY	PIT	3.6358638189892156
ACY	MCO	8.461538461538462
ACY	ATL	21.97872340425532
ACY	LGA	52.40909090909091
ACY	JFK	64.83333333333333
ACY	MYR	222.0
ADK	ANC	4.1678832116788325
ADK	AKN	27.181571815718158
ADQ	ANC	9.052532207907596
ADQ	BET	13.5
AEX	ILE	-5.0
AEX	AUS	-5.0
AEX	MSY	0.0
AEX	HOU	0.0
AEX	BTR	0.0
AEX	ABI	0.0
AEX	JAN	0.0
AEX	LFT	0.0
AEX	IAH	0.9816450455423682
AEX	MLU	2.0
AGS	CVG	-10.0
AGS	CLE	-8.571428571428571
AGS	CHA	0.0
AGS	CHS	0.0
AGS	CLT	2.675562969140951
AGS	IAH	5.2004381161007665
AGS	SAV	7.3183602267771475
AGS	ATL	8.081907697129575
AGS	CAE	8.682529335071708
AGS	LGA	14.285714285714286
AKN	DLG	8.016348773841962
AKN	ANC	10.16005040957782
AKN	ADK	14.725641025641025
ALB	SWF	-1.8641975308641976
ALB	SYR	1.6157894736842104
ALB	RDU	2.232115018188117
ALB	CVG	2.90784489289896
ALB	PVD	2.9864864864864864
ALB	BTV	3.1194029850746268
ALB	DTW	3.6068237831176835
ALB	ISP	4.388203753351206
ALB	MHT	4.492146596858639
ALB	BUF	4.704648648648648
ALO	RST	4.3076923076923075
ALO	MSP	6.195304162219851
ALO	STL	7.25
AMA	LBB	3.321791320406279
AMA	LAS	3.731661588938364
AMA	IAH	4.715454154111064
AMA	DFW	4.784648533432185
AMA	MAF	6.733980582524272
AMA	DAL	6.745798573328497
AMA	ABQ	7.00535060546325
AMA	DEN	9.670682730923694
AMA	PHX	11.0
AMA	TUL	22.0
ANC	YAK	0.0
ANC	DTW	1.1130389064143007
ANC	MSP	5.087820462869165
ANC	SLC	5.6030326594090205
ANC	ADK	6.220588235294118
ANC	EWR	6.333333333333333
ANC	CVG	6.661354581673307
ANC	OME	6.931143732178688
ANC	SEA	7.0546781363312245
ANC	DEN	7.549095966620306
ANI	ANC	1.8831775700934579
ANI	KSM	7.936507936507937
APF	TPA	2.696271929824561
APF	MIA	4.105263157894737
APF	ATL	11.248662000823384
ASE	ATL	8.666666666666666
ASE	DEN	9.668087827755276
ASE	SLC	11.565471836137528
ASE	PHX	15.926470588235293
ASE	LAX	16.75310834813499
ASE	SFO	39.66197183098591
ASE	ORD	48.98640776699029
ATL	CBM	-3.0
ATL	FCA	4.195652173913044
ATL	OGG	5.181286549707602
ATL	LGB	6.524122807017544
ATL	LWB	6.93716814159292
ATL	CLT	7.334583792105545
ATL	GSP	7.381552008406863
ATL	HTS	7.534116331096197
ATL	SNA	7.690313182811362
ATL	MEM	7.895396869108395
ATW	CHS	-23.0
ATW	CWA	-9.054545454545455
ATW	GRB	-0.4574468085106383
ATW	MKE	-0.0282021151586369
ATW	MSP	3.9588178294573644
ATW	CVG	4.425023284694194
ATW	DTW	5.532873806998939
ATW	ATL	12.4678681527152
ATW	ORD	15.411321335179203
ATW	DSM	185.0
AUS	CMH	-6.333333333333333
AUS	IND	-0.7610062893081762
AUS	SNA	-0.37254901960784315
AUS	TUL	-0.22637362637362637
AUS	CLE	0.2764227642276423
AUS	MEM	0.5458686131386862
AUS	TUS	1.1848137535816619
AUS	MIA	1.2768273716951788
AUS	SAT	2.4012836185819073
AUS	CLT	2.5814814814814815
AVL	LEX	-2.0
AVL	TRI	0.0
AVL	IAH	1.0764482431149098
AVL	MCO	2.9347826086956523
AVL	CLT	3.08887103254319
AVL	MSP	3.5923076923076924
AVL	LGA	5.0
AVL	BWI	5.438658428949691
AVL	CVG	5.636734693877551
AVL	DTW	8.275075987841944
AVP	HPN	-1.0
AVP	ELM	1.722972972972973
AVP	BWI	1.9127857747671464
AVP	ABE	2.7041062801932365
AVP	PHL	2.824083011583012
AVP	PIT	3.560528992878942
AVP	CVG	3.680693641618497
AVP	MDT	4.087962962962963
AVP	CLT	4.745762711864407
AVP	DTW	9.010317460317461
AZO	LAN	-3.0310760667903525
AZO	GRB	-1.7838164251207729
AZO	SBN	0.3103448275862069
AZO	PIT	1.435655253837072
AZO	DTW	3.0629743258517683
AZO	CVG	3.137313932095668
AZO	DAY	3.240458811261731
AZO	MSP	3.41932059447983
AZO	ORD	8.420051200442815
